id, name, version, is_ok, num_vuln, critical, high, medium, low
1, @vue/runtime-dom, v2.6.14, True
2, @vue/runtime-dom, v2.6.13, True
3, @vue/runtime-dom, v2.6.11, True
4, @vue/runtime-dom, v2.6.9, True
5, @vue/runtime-dom, v2.6.10, True
6, @vue/runtime-dom, v2.6.8, True
7, @vue/runtime-dom, v2.6.7, True
8, @vue/runtime-dom, v2.6.6, True
9, @vue/runtime-dom, v2.6.5, True
10, @vue/runtime-dom, v2.6.4, True
11, @vue/runtime-dom, v2.6.3, True
12, @vue/runtime-dom, v2.6.2, True
13, @vue/runtime-dom, v2.6.1, True
14, @vue/runtime-dom, v2.6.0, True
15, @vue/runtime-dom, v2.6.0-beta.3, True
16, @vue/runtime-dom, v2.6.0-beta.2, True
17, @vue/runtime-dom, v2.6.0-beta.1, True
18, @vue/runtime-dom, v2.5.22, True
19, @vue/runtime-dom, v2.5.21, True
20, @vue/runtime-dom, v2.5.20, True
21, @vue/runtime-dom, v2.5.19, True
22, @vue/runtime-dom, v2.5.18, True
23, @vue/runtime-dom, v2.5.18-beta.0, True
24, @vue/runtime-dom, v2.5.17, True
25, @vue/runtime-dom, v2.5.17-beta.0, True
26, @vue/runtime-dom, v2.5.16, True
27, @vue/runtime-dom, v2.5.15, True
28, @vue/runtime-dom, v2.5.14, True
29, @vue/runtime-dom, v2.5.13, True
30, @vue/runtime-dom, v2.5.12, True
31, @vue/compiler-dom, v2.6.14, True
32, @vue/compiler-dom, v2.6.13, True
33, @vue/compiler-dom, v2.6.11, True
34, @vue/compiler-dom, v2.6.9, True
35, @vue/compiler-dom, v2.6.10, True
36, @vue/compiler-dom, v2.6.8, True
37, @vue/compiler-dom, v2.6.7, True
38, @vue/compiler-dom, v2.6.6, True
39, @vue/compiler-dom, v2.6.5, True
40, @vue/compiler-dom, v2.6.4, True
41, @vue/compiler-dom, v2.6.3, True
42, @vue/compiler-dom, v2.6.2, True
43, @vue/compiler-dom, v2.6.1, True
44, @vue/compiler-dom, v2.6.0, True
45, @vue/compiler-dom, v2.6.0-beta.3, True
46, @vue/compiler-dom, v2.6.0-beta.2, True
47, @vue/compiler-dom, v2.6.0-beta.1, True
48, @vue/compiler-dom, v2.5.22, True
49, @vue/compiler-dom, v2.5.21, True
50, @vue/compiler-dom, v2.5.20, True
51, @vue/compiler-dom, v2.5.19, True
52, @vue/compiler-dom, v2.5.18, True
53, @vue/compiler-dom, v2.5.18-beta.0, True
54, @vue/compiler-dom, v2.5.17, True
55, @vue/compiler-dom, v2.5.17-beta.0, True
56, @vue/compiler-dom, v2.5.16, True
57, @vue/compiler-dom, v2.5.15, True
58, @vue/compiler-dom, v2.5.14, True
59, @vue/compiler-dom, v2.5.13, True
60, @vue/compiler-dom, v2.5.12, True
61, react-dom-factories, v17.0.2, True
62, react-dom-factories, v17.0.1, True
63, react-dom-factories, v17.0.0, True
64, react-dom-factories, v16.14.0, True
65, react-dom-factories, 0.14.10, True
66, react-dom-factories, v15.7.0, True
67, react-dom-factories, v16.13.1, True
68, react-dom-factories, v16.13.0, True
69, react-dom-factories, v16.12.0, True
70, react-dom-factories, v16.11.0, True
71, react-dom-factories, v16.10.2, True
72, react-dom-factories, v16.10.1, True
73, react-dom-factories, v16.10.0, True
74, react-dom-factories, v16.9.0, True
75, react-dom-factories, v16.9.0-rc.0, True
76, react-dom-factories, v16.9.0-alpha.0, True
77, react-dom-factories, v16.8.6, True
78, react-dom-factories, v16.8.5, True
79, react-dom-factories, v16.8.4, True
80, react-dom-factories, v16.8.3, True
81, react-dom-factories, v16.8.2, True
82, react-dom-factories, v16.8.1, True
83, react-dom-factories, v16.8.0, True
84, react-dom-factories, v16.7.0, True
85, react-dom-factories, v16.6.3, True
86, react-dom-factories, v16.6.1, True
87, react-dom-factories, v16.6.0, True
88, react-dom-factories, v16.5.2, True
89, react-dom-factories, v16.5.1, True
90, react-dom-factories, v16.5.0, True
91, react-addons-update, v17.0.2, True
92, react-addons-update, v17.0.1, True
93, react-addons-update, v17.0.0, True
94, react-addons-update, v16.14.0, True
95, react-addons-update, 0.14.10, True
96, react-addons-update, v15.7.0, True
97, react-addons-update, v16.13.1, True
98, react-addons-update, v16.13.0, True
99, react-addons-update, v16.12.0, True
100, react-addons-update, v16.11.0, True
101, react-addons-update, v16.10.2, True
102, react-addons-update, v16.10.1, True
103, react-addons-update, v16.10.0, True
104, react-addons-update, v16.9.0, True
105, react-addons-update, v16.9.0-rc.0, True
106, react-addons-update, v16.9.0-alpha.0, True
107, react-addons-update, v16.8.6, True
108, react-addons-update, v16.8.5, True
109, react-addons-update, v16.8.4, True
110, react-addons-update, v16.8.3, True
111, react-addons-update, v16.8.2, True
112, react-addons-update, v16.8.1, True
113, react-addons-update, v16.8.0, True
114, react-addons-update, v16.7.0, True
115, react-addons-update, v16.6.3, True
116, react-addons-update, v16.6.1, True
117, react-addons-update, v16.6.0, True
118, react-addons-update, v16.5.2, True
119, react-addons-update, v16.5.1, True
120, react-addons-update, v16.5.0, True
121, react-addons-transition-group, v17.0.2, True
122, react-addons-transition-group, v17.0.1, True
123, react-addons-transition-group, v17.0.0, True
124, react-addons-transition-group, v16.14.0, True
125, react-addons-transition-group, 0.14.10, True
126, react-addons-transition-group, v15.7.0, True
127, react-addons-transition-group, v16.13.1, True
128, react-addons-transition-group, v16.13.0, True
129, react-addons-transition-group, v16.12.0, True
130, react-addons-transition-group, v16.11.0, True
131, react-addons-transition-group, v16.10.2, True
