id, name, version, is_ok, num_vuln, critical, high, medium, low
5000, @sentry/utils, 6.3.4, True
5001, @sentry/browser, 6.14.0, True
5002, @sentry/browser, 6.13.3, True
5003, @sentry/browser, 6.13.2, True
5004, @sentry/browser, 6.13.1, True
5005, @sentry/browser, 6.13.0, True
5006, @sentry/browser, 6.13.0-beta.3, True
5007, @sentry/browser, 6.13.0-beta.2, True
5008, @sentry/browser, 6.13.0-beta.1, True
5009, @sentry/browser, 6.13.0-beta.0, True
5010, @sentry/browser, 6.12.0, True
5011, @sentry/browser, 6.12.0-beta.2, True
5012, @sentry/browser, 6.12.0-beta.1, True
5013, @sentry/browser, 6.11.0, True
5014, @sentry/browser, 6.10.0, True
5015, @sentry/browser, 6.10.0-beta.3, True
5016, @sentry/browser, 6.10.0-beta.2, True
5017, @sentry/browser, 6.10.0-beta, True
5018, @sentry/browser, 6.9.0, True
5019, @sentry/browser, 6.8.0, True
5020, @sentry/browser, 6.7.2, True
5021, @sentry/browser, 6.7.1, True
5022, @sentry/browser, 6.7.0, True
5023, @sentry/browser, 6.6.0, True
5024, @sentry/browser, 6.5.1, True
5025, @sentry/browser, 6.5.0, True
5026, @sentry/browser, 6.4.1, True
5027, @sentry/browser, 6.4.0, True
5028, @sentry/browser, 6.3.6, True
5029, @sentry/browser, 6.3.5, True
5030, @sentry/browser, 6.3.4, True
5031, @sentry/types, 6.14.0, True
5032, @sentry/types, 6.13.3, True
5033, @sentry/types, 6.13.2, True
5034, @sentry/types, 6.13.1, True
5035, @sentry/types, 6.13.0, True
5036, @sentry/types, 6.13.0-beta.3, True
5037, @sentry/types, 6.13.0-beta.2, True
5038, @sentry/types, 6.13.0-beta.1, True
5039, @sentry/types, 6.13.0-beta.0, True
5040, @sentry/types, 6.12.0, True
5041, @sentry/types, 6.12.0-beta.2, True
5042, @sentry/types, 6.12.0-beta.1, True
5043, @sentry/types, 6.11.0, True
5044, @sentry/types, 6.10.0, True
5045, @sentry/types, 6.10.0-beta.3, True
5046, @sentry/types, 6.10.0-beta.2, True
5047, @sentry/types, 6.10.0-beta, True
5048, @sentry/types, 6.9.0, True
5049, @sentry/types, 6.8.0, True
5050, @sentry/types, 6.7.2, True
5051, @sentry/types, 6.7.1, True
5052, @sentry/types, 6.7.0, True
5053, @sentry/types, 6.6.0, True
5054, @sentry/types, 6.5.1, True
5055, @sentry/types, 6.5.0, True
5056, @sentry/types, 6.4.1, True
5057, @sentry/types, 6.4.0, True
5058, @sentry/types, 6.3.6, True
5059, @sentry/types, 6.3.5, True
5060, @sentry/types, 6.3.4, True
5061, @sentry/node, 6.14.0, True
5062, @sentry/node, 6.13.3, True
5063, @sentry/node, 6.13.2, True
5064, @sentry/node, 6.13.1, True
5065, @sentry/node, 6.13.0, True
5066, @sentry/node, 6.13.0-beta.3, True
5067, @sentry/node, 6.13.0-beta.2, True
5068, @sentry/node, 6.13.0-beta.1, True
5069, @sentry/node, 6.13.0-beta.0, True
5070, @sentry/node, 6.12.0, True
5071, @sentry/node, 6.12.0-beta.2, True
5072, @sentry/node, 6.12.0-beta.1, True
5073, @sentry/node, 6.11.0, True
5074, @sentry/node, 6.10.0, True
5075, @sentry/node, 6.10.0-beta.3, True
5076, @sentry/node, 6.10.0-beta.2, True
5077, @sentry/node, 6.10.0-beta, True
5078, @sentry/node, 6.9.0, True
5079, @sentry/node, 6.8.0, True
5080, @sentry/node, 6.7.2, True
5081, @sentry/node, 6.7.1, True
5082, @sentry/node, 6.7.0, True
5083, @sentry/node, 6.6.0, True
5084, @sentry/node, 6.5.1, True
5085, @sentry/node, 6.5.0, True
5086, @sentry/node, 6.4.1, True
5087, @sentry/node, 6.4.0, True
5088, @sentry/node, 6.3.6, True
5089, @sentry/node, 6.3.5, True
5090, @sentry/node, 6.3.4, True
