X.1,Name,Release.Name,X,Repository.URL,Release.URL,id,is_ok,num_vuln,critical,high,medium,low
269,google-protobuf,v3.19.0-rc2,2126,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.19.0-rc2,269,error,Couldn't find the requested package or version,NA,NA,NA,NA
270,google-protobuf,v3.19.0-rc1,2127,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.19.0-rc1,270,error,Couldn't find the requested package or version,NA,NA,NA,NA
273,google-protobuf,v3.18.0-rc2,2130,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.18.0-rc2,273,error,Couldn't find the requested package or version,NA,NA,NA,NA
274,google-protobuf,v3.18.0-rc1,2131,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.18.0-rc1,274,error,Couldn't find the requested package or version,NA,NA,NA,NA
279,google-protobuf,v3.17.0-rc2,2136,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.17.0-rc2,279,error,Couldn't find the requested package or version,NA,NA,NA,NA
280,google-protobuf,v3.17.0-rc1,2137,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.17.0-rc1,280,error,Couldn't find the requested package or version,NA,NA,NA,NA
282,google-protobuf,v3.16.0-rc2,2139,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.16.0-rc2,282,error,Couldn't find the requested package or version,NA,NA,NA,NA
284,google-protobuf,v3.16.0-rc1,2141,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.16.0-rc1,284,error,Couldn't find the requested package or version,NA,NA,NA,NA
293,google-protobuf,v3.15.0-rc2,2150,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.15.0-rc2,293,error,Couldn't find the requested package or version,NA,NA,NA,NA
294,google-protobuf,v3.15.0-rc1,2151,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.15.0-rc1,294,error,Couldn't find the requested package or version,NA,NA,NA,NA
296,google-protobuf,v3.14.0-rc3,2153,https://github.com/protocolbuffers/protobuf,https://github.com/protocolbuffers/protobuf/releases/tag/v3.14.0-rc3,296,error,Couldn't find the requested package or version,NA,NA,NA,NA
449,jekyll,v4.2.1,2724,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v4.2.1,449,error,Couldn't find the requested package or version,NA,NA,NA,NA
450,jekyll,v3.9.1,2725,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.9.1,450,error,Couldn't find the requested package or version,NA,NA,NA,NA
451,jekyll,v4.2.0,2726,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v4.2.0,451,error,Couldn't find the requested package or version,NA,NA,NA,NA
452,jekyll,v3.9.0,2727,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.9.0,452,error,Couldn't find the requested package or version,NA,NA,NA,NA
453,jekyll,v4.1.1,2728,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v4.1.1,453,error,Couldn't find the requested package or version,NA,NA,NA,NA
454,jekyll,v4.1.0,2729,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v4.1.0,454,error,Couldn't find the requested package or version,NA,NA,NA,NA
455,jekyll,v4.0.1,2730,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v4.0.1,455,error,Couldn't find the requested package or version,NA,NA,NA,NA
456,jekyll,v3.8.7,2731,https://github.com/jekyll/jekyll,https://github.com/jekyll/jekyll/releases/tag/v3.8.7,456,error,Couldn't find the requested package or version,NA,NA,NA,NA
